"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"JF","5","","","","","9/18/2018 5:37:38 PM","","","","","","","","","","","","Plotted"
"JS","1","","","","11/1/2018 2:04:36 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","11/1/2018 2:04:36 PM","11/1/2018 2:04:40 PM","","","4877_Plan 1-SW-LAYOUT","G:\64877\Structural\PLAN\4877_Plan 1.dwg","SW-LAYOUT","OCE 24x36","I:\library\templates\paper\PLAN_FILE.dwt","DWG To PDF.pc3","C:\Users\dngo\Desktop\abc1.pdf","ARCH full bleed D (36.00 x 24.00 Inches)","0","Plotted"
"SH","1","","","","11/1/2018 2:04:40 PM","11/1/2018 2:04:40 PM","","","4877_Plan 1-S-1.1","G:\64877\Structural\PLAN\4877_Plan 1.dwg","S-1.1","OCE 24x36","I:\library\templates\paper\PLAN_FILE.dwt","DWG To PDF.pc3","C:\Users\dngo\Desktop\abc1.pdf","ARCH full bleed D (36.00 x 24.00 Inches)","0","Plotted"
"SH","1","","","","11/1/2018 2:04:40 PM","11/1/2018 2:04:41 PM","","","4877_Plan 1-S-1.2","G:\64877\Structural\PLAN\4877_Plan 1.dwg","S-1.2","OCE 24x36","I:\library\templates\paper\PLAN_FILE.dwt","DWG To PDF.pc3","C:\Users\dngo\Desktop\abc1.pdf","ARCH full bleed D (36.00 x 24.00 Inches)","0","Plotted"
"JF","1","","","","","11/1/2018 2:04:42 PM","","","","","","","","","","","","Plotted"
"JS","2","","","","11/1/2018 2:08:58 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","2","","","","","","","","4877_Plan 1-S-1.1","G:\64877\Structural\PLAN\4877_Plan 1.dwg","S-1.1","OCE 24x42","I:\library\templates\paper\PLAN_FILE.dwt","","","","0","Error(s) Did Not Plot","ERROR: The plotters folder is read-only, Unable to create custom paper size. ","ERROR: The Plotters directory is readonly and must be writable to make custom paper sizes. ","ERROR: Unable to create the requested media size as a custom size. "
"JF","2","","","","","11/1/2018 2:09:01 PM","","","","","","","","","","","","Error(s) Did Not Plot"
"JS","3","","","","11/1/2018 2:12:38 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","3","","","","","","","","4877_Plan 1-S-1.1","G:\64877\Structural\PLAN\4877_Plan 1.dwg","S-1.1","OCE 24x42","","","","","0","Error(s) Did Not Plot","ERROR: The plotters folder is read-only, Unable to create custom paper size. ","ERROR: The Plotters directory is readonly and must be writable to make custom paper sizes. ","ERROR: Unable to create the requested media size as a custom size. "
"JF","3","","","","","11/1/2018 2:12:40 PM","","","","","","","","","","","","Error(s) Did Not Plot"
"JS","4","","","","11/1/2018 2:19:30 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","4","","","","11/1/2018 2:19:30 PM","11/1/2018 2:19:33 PM","","","4877_Plan 1-S-1.1","G:\64877\Structural\PLAN\4877_Plan 1.dwg","S-1.1","OCE 24x36","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Desktop\abc33.pdf","ARCH full bleed D (36.00 x 24.00 Inches)","0","Plotted"
